ticker,run_id,instrument_id,security_class_id,target_cik,configured_issuer_name,first_observed_session,last_observed_session,governed_interval_state,unresolved_document_count,interval_families_json,gate_classification,other_blockers_json,source_manifest_path,source_manifest_sha256,config_path,config_sha256
DGSE,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__dgse,cik_ticker:0000701719:DGSE,,0000701719,"DGSE Companies, Inc.",2019-12-11,2019-12-17,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,3,"{""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 3}",GENERIC_TARGET_CIK_COMMON_EQUITY_CONTINUITY,"[""BASELINE_DOCUMENT_PARTIAL""]",C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__dgse/final_manifest.json,9e964dbc203f4fc52ef9fcec4c45a2f3e71ea8da1bea201370ca21eb898cf913,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/dgse.json,30fe88d7691895ee83717354b5ab2582fd7d295a64b977b679caff13aa78c21e
ETAK,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__etak,cik_ticker:0001084384:ETAK,,0001084384,Elephant Talk Communications Cor,2016-10-27,2016-11-02,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,8,"{""ISSUER_FILED_BASELINE_METADATA_CONTINUITY_CANDIDATE"": 2, ""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 5, ""TRUE_IDENTITY_EVIDENCE_GAP_OR_UNSUPPORTED_CLASS"": 1}",MIXED_WITH_TRUE_IDENTITY_EVIDENCE_GAP,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__etak/final_manifest.json,b4a90285f0e97ae3e8649e3be616fbba8aa13090c7d0e937ea4a5dc71dde7c90,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/etak.json,aa5f8ac083c72421775efb171307529dbe83af216395fd894d8d1707bef0a8f8
IDR,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__idr,figi_share_class:BBG001SBCW53,BBG001SBCW53,0001030192,"Idaho Strategic Resources, Inc.",2026-03-02,2026-03-06,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,10,"{""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 6, ""TRUE_IDENTITY_EVIDENCE_GAP_OR_UNSUPPORTED_CLASS"": 4}",MIXED_WITH_TRUE_IDENTITY_EVIDENCE_GAP,"[""SHARE_CLASS_ALLOCATION_UNRESOLVED""]",C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__idr/final_manifest.json,cd932aefd0065ca235ec0780156a2478e73c62fbad7a1b5fbbade893f6a07666,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/idr.json,a8b2d170fcf35acd02c8642decf552c3ad4ec9e67f22279cd8dfce91064648bc
INPX,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__inpx,figi_share_class:BBG001S7VTW8,BBG001S7VTW8,0001529113,Inpixon,2024-03-06,2024-03-12,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,1,"{""NON_TARGET_ISSUER_DOCUMENT_MUST_BE_REJECTED"": 1}",GENERIC_NON_TARGET_ISSUER_REJECTION,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__inpx/final_manifest.json,354d2e9650e733a5b0d3304de7e85d7811b625592bd9721657cc7f02eccd7e9c,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/inpx.json,56628e72354849a2b364ed42ff3f167fab17fdccc1c0d2983a6b95d8ff69c06f
IPXX,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__ipxx,cik_ticker:0001970622:IPXX,,0001970622,Inflection Point Acquisition Corp. II Class A Ordinary Share,2025-03-07,2025-03-13,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,1,"{""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 1}",GENERIC_TARGET_CIK_COMMON_EQUITY_CONTINUITY,"[""SHARE_CLASS_ALLOCATION_UNRESOLVED""]",C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__ipxx/final_manifest.json,ff7674520a72dcb0f3e9997ff8c72c86dfef2f4fb060ee3d92615ad1c7848022,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/ipxx.json,4b15bf89473e9bd7d6c505d390bd20e9c3b49bf169ef61fadfd41d9007e1da69
LAB,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__lab,figi_share_class:BBG001T0FDP3,BBG001T0FDP3,0001162194,Standard BioTools Inc.,2026-03-02,2026-03-06,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,13,"{""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 11, ""TRUE_IDENTITY_EVIDENCE_GAP_OR_UNSUPPORTED_CLASS"": 2}",MIXED_WITH_TRUE_IDENTITY_EVIDENCE_GAP,"[""HOLDER_OVERLAP_UNRESOLVED""]",C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__lab/final_manifest.json,2a5297efd5b05a8147cdb319ea19658441affcfd13fcb37016ea5fed72ac3d74,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/lab.json,9a1f272f9c9880e8bb838646774fb5b98d85133f3c25c0feca8dcf63a15403ce
MBI,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__mbi,figi_share_class:BBG001S5T021,BBG001S5T021,0000814585,MBIA Inc.,2026-03-02,2026-03-06,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,1,"{""NON_TARGET_ISSUER_DOCUMENT_MUST_BE_REJECTED"": 1}",GENERIC_NON_TARGET_ISSUER_REJECTION,"[""HOLDER_OVERLAP_UNRESOLVED""]",C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__mbi/final_manifest.json,317716d4c2af26dc309dc1f036e953419eae5fa30fac9b6b0e221869ba75755c,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/mbi.json,02abf23acf87616cb8bb3e9375a0361e5557ae8d0baa70a22b5feae38784c530
MCAC,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__mcac,figi_share_class:BBG01710KZH3,BBG01710KZH3,0001895249,Mountain Crest Acquisition Corp.,2024-07-08,2024-07-12,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,4,"{""ISSUER_FILED_BASELINE_METADATA_CONTINUITY_CANDIDATE"": 4}",GENERIC_ISSUER_FILED_BASELINE_METADATA_CONTINUITY,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__mcac/final_manifest.json,3fc92686c3039bddcd44b8a03b94aaa5e55ec6f417b00368ad45d0fc8a983fba,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/mcac.json,86226e148b037c165787cbc773d32fa2773a51ed1c5db9331194bac0eab53224
OSG,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__osg,figi_share_class:BBG0071D5RR0,BBG0071D5RR0,0000075208,"Octave Specialty Group, Inc.",2026-03-02,2026-03-06,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,96,"{""ISSUER_FILED_BASELINE_METADATA_CONTINUITY_CANDIDATE"": 1, ""NON_TARGET_ISSUER_DOCUMENT_MUST_BE_REJECTED"": 2, ""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 74, ""TRUE_IDENTITY_EVIDENCE_GAP_OR_UNSUPPORTED_CLASS"": 19}",MIXED_WITH_TRUE_IDENTITY_EVIDENCE_GAP,"[""SHARE_CLASS_ALLOCATION_UNRESOLVED""]",C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__osg/final_manifest.json,a30728679bc54b68b24cf46cb081347ad775a3266df1c6f2048a9bf9e0409489,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/osg.json,f96a4932f9585beb6e7315fc9dc6563877538094d426c7bbc7f7832681281166
SLE,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__sle,figi_share_class:BBG009XZYH83,BBG009XZYH83,0001621672,"Super League Enterprise, Inc.",2026-03-02,2026-03-06,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,8,"{""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 7, ""TRUE_IDENTITY_EVIDENCE_GAP_OR_UNSUPPORTED_CLASS"": 1}",MIXED_WITH_TRUE_IDENTITY_EVIDENCE_GAP,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__sle/final_manifest.json,ba8973abc2573cba6d7815f79cf0e20287e158f2986f63c3073340e1d3c75f50,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/sle.json,40cd91dcef9bd73e96237efef352f2f65d26976ce913ec7c7ad90cd44980bf3e
SNMP,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__snmp,figi_share_class:BBG001SPWJZ6,BBG001SPWJZ6,0001362705,Evolve Transition Infrastructure LP,2024-02-09,2024-02-15,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,11,"{""ISSUER_FILED_BASELINE_METADATA_CONTINUITY_CANDIDATE"": 1, ""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 3, ""TRUE_IDENTITY_EVIDENCE_GAP_OR_UNSUPPORTED_CLASS"": 7}",MIXED_WITH_TRUE_IDENTITY_EVIDENCE_GAP,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__snmp/final_manifest.json,3844ddafdd1183b577e54c24c42167ca1aba92a3148e5f73852d9f3d51c66f41,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/snmp.json,ce8f846e0328bee3308c4362b8722eb8f058af0f3ba244e7b6e2931528a4b97a
SPI,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__spi,cik_ticker:0001210618:SPI,,0001210618,"SPI Energy Co., Ltd.",2025-01-07,2025-01-14,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,21,"{""NON_TARGET_ISSUER_DOCUMENT_MUST_BE_REJECTED"": 1, ""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 17, ""TRUE_IDENTITY_EVIDENCE_GAP_OR_UNSUPPORTED_CLASS"": 3}",MIXED_WITH_TRUE_IDENTITY_EVIDENCE_GAP,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__spi/final_manifest.json,2d31f91b363c9dcf472f05823acd48359eb11a3dc6be4a553dcdb9d5074e12f1,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/spi.json,09294288d7c8d88ebd4e488f061829972703ab70627505f7ed9d6ce8d73bafab
STAF,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__staf,figi_share_class:BBG0025CGH08,BBG0025CGH08,0001499717,"Staffing 360 Solutions, Inc. Common Stock (DE)",2025-02-06,2025-02-12,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,15,"{""ISSUER_FILED_BASELINE_METADATA_CONTINUITY_CANDIDATE"": 3, ""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 7, ""TRUE_IDENTITY_EVIDENCE_GAP_OR_UNSUPPORTED_CLASS"": 5}",MIXED_WITH_TRUE_IDENTITY_EVIDENCE_GAP,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__staf/final_manifest.json,7ab0660ae3dd2faf7b97a7da21830a1c709ad4d20568ff68866be7283ca0b436,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/staf.json,78ac9f9dcc0951fe23a201e92ce4f602f3fa27a13bbd1fb22e4d8c9b985e646c
VELO,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__velo,figi_share_class:BBG00YZ5PM72,BBG00YZ5PM72,0001825079,Velocity Acquisition Corp.,2026-03-02,2026-03-06,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,38,"{""ISSUER_FILED_BASELINE_METADATA_CONTINUITY_CANDIDATE"": 2, ""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 27, ""TRUE_IDENTITY_EVIDENCE_GAP_OR_UNSUPPORTED_CLASS"": 9}",MIXED_WITH_TRUE_IDENTITY_EVIDENCE_GAP,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__velo/final_manifest.json,526acf934f7498c7e63b77d431930504c488a4314acb210a406eb281e2f15cc6,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/velo.json,4d10c3e305ff96a5999fb855a90b84a6f79be03ea9718f42659f0e0e6aad08eb
VIVE,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__vive,figi_share_class:BBG001S6T8J4,BBG001S6T8J4,0000879682,VIVEVE MED INC,2023-01-11,2023-01-18,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,14,"{""ISSUER_FILED_BASELINE_METADATA_CONTINUITY_CANDIDATE"": 3, ""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 5, ""TRUE_IDENTITY_EVIDENCE_GAP_OR_UNSUPPORTED_CLASS"": 6}",MIXED_WITH_TRUE_IDENTITY_EVIDENCE_GAP,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__vive/final_manifest.json,f2dfecb229ef4fb2981502de94ae027920ac32a71826459cf0829454ba5da850,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/vive.json,961f974c712c2d47e1d470b9945a21d31d01caefe82f216cc699cfb9eea303f6
