0,1,2,3,4
,"Bailey, David H.; Borwein, Jon M.; Salehipour, Amir; Lopez de Prado,  Marcos",Evaluation and Ranking of Market Forecasters,"Journal of Investment Management, 16(2), pp. 47-64. April 2018.","We develop a novel ranking methodology to rank the market forecaster. In particular, we distinguish forecasts by their specificity, rather than considering all predictions and forecasts equally important, and we also analyze the impact of the number of forecasts made by a particular forecaster. We have applied our methodology on a dataset including 6,627 forecasts made by 68 forecasters."
,"Lopez de Prado,  Marcos",Machine Learning Funds and Investment Malpractice,"Oxford Business Law, March, 2018.","Although there are no laws specifically prohibiting backtest overfitting (yet), investors may have a legal case against this widespread investment malpractice that professional associations of mathematicians have deemed unethical."
,"Lopez de Prado,  Marcos;  Fabozzi, Frank",Who needs a Newtonian Finance?,"Journal of Portfolio Management, 44(1), pp. 1-4. Fall 2017.","In this article, we discuss economics' obsession with calculus. Instead of focusing on that narrow topic, economics and finance students should be taught a much wider variety of mathematical subjects."
,"Easley, David;  Lopez de Prado, Marcos;  O'Hara,  Maureen",An Improved Version of the Volume-Synchronized Probability of Informed Trading (VPIN): A Comment,"Critical Finance Review, 6(2), pp. 377-379. 2017.",Ke and Lin provide a valuable alternative approach to estimating the Volume-Synchronized Probability of Informed Trading (VPIN) measure.
,"Bailey, David H.; Borwein, Jon M.; Lopez de Prado,  Marcos; Zhu, Jim",The Probability of Backtest Overfitting,"Journal of Computational Finance, 20(4), pp. 39-70. 2017.","We propose a framework  that estimates the probability of backtest overfitting (PBO) specifically in  the context of investment simulations, through a numerical method that we  call combinatorially symmetric cross-validation (CSCV). We show that CSCV  produces accurate estimates of the probability that a particular backtest is  overfit. Mathematical Appendices  available here."
,"Lopez de Prado,  Marcos",Finance as an Industrial Science,"Journal of Portfolio Management, 43(4), pp. 5-9. Summer 2017.","Finance cannot become a rigorous science (in the Popperian or Lakatosian sense), however it can still operate as an “industrial science”. This article describes the scientific method by which industrial finance discovers through experimentation, and avoids false discoveries."
,"Bailey, David H.; Borwein, Jon M.;  Lopez de Prado,  Marcos",Stock portfolio design and backtest overfitting,"Journal of Investment Management, 15(1), pp.1-13. 2017.","We demonstrate a computer program that designs a portfolio consisting of common securities, such as the constituents of the S&P 500 index, that achieves any desired profile via in-sample backtest optimization. These portfolios typically perform erratically on more recent, out-of-sample data, which is symptomatic of selection bias. One implication of these results is that so-called smart beta funds, which are designed in-sample to deliver a desirable performance pro file, are likely to disappoint out-of-sample."
,"Rosenberg, Gili;  Poya Haghnegahdar;  Goddard, Phil; Lopez de Prado,  Marcos; Carr, Peter;  Wu, Kesheng",Solving the Optimal Trading Trajectory Problem Using a Quantum Annealer,"IEEE Journal of Selected Topics in Signal Processing, 10(6), pp. 1053-1060. September 2016.","We solve a multi-period portfolio optimization NP-complete problem using D-Wave's quantum annealer. The formulation incorporates transaction costs (including permanent and temporary market impact) and, significantly, the solution does not require the inversion of a covariance matrix. The discrete multi-period portfolio optimization problem we solve is significantly harder than the continuous variable problem."
,"Lopez de Prado,  Marcos",Mathematics and Economics: A reality check,"Journal of Portfolio Management, 43(1), pp. 5-8. Fall 2016.","Economics (and by extension finance) is arguably one of the most mathematical fields of research. However, economists’ choice of math may be inadequate to model the complexity of social institutions. In a constructive spirit, this note offers some advice on how students could increase their chances of having a successful career in 21st century finance. Practitioners seeking to enhance their skillset may also draw some ideas."
,"Lopez de Prado,  Marcos",New Mathematical Tools in the Quant Arsenal,"Journal of Investing, 25(3), pp. 2-3. Fall 2016.","We introduce Kinetic Component Analysis (KCA), a  state-space application that extracts the signal from a series of noisy  measurements by applying a Kalman Filter on a Taylor expansion of a  stochastic process. We show that KCA presents several advantages compared to  other popular noise-reduction methods such as Fast Fourier Transform (FFT) or  Locally Weighted Scatterplot Smoothing (LOWESS)."
