ticker,run_id,accession_number,form,filing_date,identity_admitted,ownership_table_state,structured_position_rows,class_allocation_complete,selected_as_opening_baseline,supported_single_rows,ownership_component_states_json,table_class_bases_json,document_signals_json,source_url,source_sha256
AULT,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__ault,0001214659-24-006963,10-K,2024-04-16,True,OWNERSHIP_BASELINE_CONTENT_COMPLETE_CANDIDATE,9,False,False,9,"{""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 9}","{""SINGLE_OR_UNSPECIFIED"": 9}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/896493/000121465924006963/aa32524110k.htm,0962e849b749dc829d1c54f1151abb913491ebc22e07b476944de63d4917e593
AULT,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__ault,0001214659-23-015552,DEF 14A,2023-11-24,True,OWNERSHIP_BASELINE_CONTENT_COMPLETE_CANDIDATE,21,False,False,21,"{""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 21}","{""SINGLE_OR_UNSPECIFIED"": 21}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/896493/000121465923015552/s1122230def14a.htm,de33b6e68d682b24a661f12e973ce795970567119665ea559df679c79f475b27
AXAC,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__axac,0001104659-23-053899,DEF 14A,2023-05-01,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,10,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 10}","{""MULTI_CLASS_ORDINARY_SHARES"": 10}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1898019/000110465923053899/tm2313379-2_def14a.htm,61ee33a151b2fd416effad2e4d43e651f61c57ee2f80711bcf0bf042e660a7be
AXAC,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__axac,0001104659-23-005932,DEF 14A,2023-01-24,True,OWNERSHIP_TABLE_NO_MANAGEMENT_BASELINE,1,False,False,1,"{""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 1}","{""SINGLE_OR_UNSPECIFIED"": 1}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1898019/000110465923005932/tm233326-2_def14a.htm,e20a28ef15f9c10933ebb829ad219de1de5d6c4be6d7ead46b3870be87e49ce6
BASI,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__basi,0001104659-21-008837,DEF 14A,2021-01-28,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,11,False,False,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 11}","{""SINGLE_OR_UNSPECIFIED"": 11}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/720154/000110465921008837/tm213245d2_def14a.htm,36237126b50b4937c7609531c7127ee0bdcb7bc695b480ed47ad3c40db76a498
BASI,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__basi,0001104659-20-138651,10-K,2020-12-22,True,NO_OWNERSHIP_TABLE,0,True,False,0,{},{},"{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/720154/000110465920138651/tm2038337d1_10k.htm,1a70c4c9b6f31924f2b27bf8dfd626780f641adad4fa5f043e458ca6ba241067
BASI,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__basi,0001104659-20-007622,DEF 14A,2020-01-28,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,12,False,False,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 12}","{""SINGLE_OR_UNSPECIFIED"": 12}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/720154/000110465920007622/tm205992-1_def14a.htm,fdd466d9d104a2f8e32294e43a18ebc76ca22a26253d68aecaa5c843817f89d1
BASI,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__basi,0001104659-19-076191,10-K,2019-12-26,True,NO_OWNERSHIP_TABLE,0,True,False,0,{},{},"{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/720154/000110465919076191/tm1919814d1_10-k.htm,f2d3845d978ac7db75139032c4d8d582c6fd4cfc69949889e819927f2ace2b91
BLNG,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__blng,0001213900-23-025526,10-K,2023-03-31,True,OWNERSHIP_BASELINE_CONTENT_COMPLETE_CANDIDATE,12,False,False,12,"{""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 12}","{""SINGLE_OR_UNSPECIFIED"": 12}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1842384/000121390023025526/f10k2022_belongacq.htm,f05df5f59128f410acac616712603fa3ac2e7b17143bdaa98488c2315450199d
BLNG,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__blng,0001213900-22-072144,DEF 14A,2022-11-14,True,OWNERSHIP_BASELINE_CONTENT_COMPLETE_CANDIDATE,10,False,False,10,"{""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 10}","{""SINGLE_OR_UNSPECIFIED"": 10}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1842384/000121390022072144/def14a1122_belongacq.htm,21d43f8d6f860af31ea66646e6527449ca7f2afa3234433a739d6147fd325851
BLNG,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__blng,0001213900-22-016201,10-K,2022-03-30,True,OWNERSHIP_BASELINE_CONTENT_COMPLETE_CANDIDATE,10,False,False,10,"{""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 10}","{""SINGLE_OR_UNSPECIFIED"": 10}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1842384/000121390022016201/f10k2021_belongacq.htm,7dfc3c3ba349f1ad40fce7c2f21a2435eb2a0e7e2124d733512548b4692579a2
BNED,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__bned,0001140361-26-003440,DEF 14A,2026-02-03,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,15,False,False,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 15}","{""SINGLE_OR_UNSPECIFIED"": 15}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1634117/000114036126003440/ny20062215x1_def14a.htm,b32116af3eedfe18095453b2d49c427288ad4d4a46239fe35cce3b30709b7993
BNED,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__bned,0001634117-25-000038,10-K,2025-12-23,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,15,False,False,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 15}","{""SINGLE_OR_UNSPECIFIED"": 15}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1634117/000163411725000038/bned-20250503.htm,34f28a06b235d2ffb75b4dd2483823d4d81819f7d68277797cddf955a398cfd0
BNED,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__bned,0001140361-24-036858,DEF 14A,2024-08-12,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,17,False,False,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 17}","{""SINGLE_OR_UNSPECIFIED"": 17}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1634117/000114036124036858/ny20032144x2_def14a.htm,154181c89c8a77c145aea217438ebff4baf609dc570ab4d1ae1399545ba6d853
BNED,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__bned,0001634117-24-000048,10-K,2024-07-01,True,NO_OWNERSHIP_TABLE,0,True,False,0,{},{},"{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1634117/000163411724000048/bned-20240427.htm,53b834dbe8d5334bb6cd150fbce5d8d9a77ef66a8f59aaea51309938d5fb50ea
BWAQ,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__bwaq,0001213900-24-019673,DEF 14A,2024-03-05,True,OWNERSHIP_TABLE_MEASUREMENT_DATE_UNRESOLVED,6,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 6}","{""MULTI_CLASS_ORDINARY_SHARES"": 6}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1878074/000121390024019673/ea0201102-01.htm,f4a233b887923eaaf23c4eacf56dd2ae4f64858378f65895e6a669a7625d01c2
BWAQ,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__bwaq,0001213900-23-080582,10-K,2023-09-28,True,OWNERSHIP_TABLE_MEASUREMENT_DATE_UNRESOLVED,12,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 12}","{""MULTI_CLASS_ORDINARY_SHARES"": 12}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1878074/000121390023080582/f10k2023_blueworld.htm,d3cebfc8a08811571fad88a0c924ca9b20e64126ac91ab78d40b91f0c8c6c059
BWAQ,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__bwaq,0001213900-23-048875,DEF 14A,2023-06-14,True,OWNERSHIP_TABLE_MEASUREMENT_DATE_UNRESOLVED,12,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 12}","{""MULTI_CLASS_ORDINARY_SHARES"": 12}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1878074/000121390023048875/def14a0623_blueworldacq.htm,573daa0b44a81043fb00067ab1658725f4ae4141b91557bf6e26a2fd4adf4668
BWAQ,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__bwaq,0001213900-23-038329,10-K/A,2023-05-11,True,OWNERSHIP_TABLE_MEASUREMENT_DATE_UNRESOLVED,4,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 4}","{""MULTI_CLASS_ORDINARY_SHARES"": 4}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1878074/000121390023038329/f10k2022a2_blueworldacq.htm,01a99336cd78a574ea5807c799c05d7fffaa2b617a593d83debd329548e451b1
CDAQ,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__cdaq,0001493152-24-024905,DEF 14A,2024-06-24,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,12,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 12}","{""MULTI_CLASS_ORDINARY_SHARES"": 12}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1851909/000149315224024905/formdef14a.htm,44250584b2675808818340e49527adf17a27909614c96e59aad8759408534765
CDAQ,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__cdaq,0001493152-24-012485,10-K,2024-04-01,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,12,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 12}","{""MULTI_CLASS_ORDINARY_SHARES"": 12}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1851909/000149315224012485/form10-k.htm,6aab73103d97d30172eb7dd1fb0425b0becafd0227af311d3fbe1df3c13e6fb5
CDAQ,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__cdaq,0001213900-23-081033,DEF 14A,2023-09-29,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,11,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 11}","{""MULTI_CLASS_ORDINARY_SHARES"": 11}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1851909/000121390023081033/def14a0923_compassdigi.htm,4d391a9e947dbef577a91d9ed85266237c9247096c6f96844f13c6034eb88d50
CDAQ,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__cdaq,0001193125-23-103964,10-K,2023-04-18,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,10,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 10}","{""MULTI_CLASS_ORDINARY_SHARES"": 10}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1851909/000119312523103964/d426478d10k.htm,947c2faa3596993b30a51bf256cbe9a1b2a155a3cfc8b6163810dea4460198bd
CORR,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__corr,0001104659-23-046660,DEF 14A,2023-04-18,True,OWNERSHIP_TABLE_MEASUREMENT_DATE_UNRESOLVED,10,False,False,10,"{""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 10}","{""SINGLE_OR_UNSPECIFIED"": 10}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": false}",https://www.sec.gov/Archives/edgar/data/1347652/000110465923046660/tm2231605d3_def14a.htm,618927da9ebe693ab12d706c18cc792e04bcac433088dccba1904c5cee70e402
CORR,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__corr,0001347652-23-000035,10-K,2023-03-29,True,NO_OWNERSHIP_TABLE,0,True,False,0,{},{},"{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": false}",https://www.sec.gov/Archives/edgar/data/1347652/000134765223000035/corr-20221231.htm,be1678e4e6e37664a2250a00e81c2137f8c81a4a38ac8df6e9a844792e02ed1a
CORR,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__corr,0001104659-22-049692,DEF 14A,2022-04-25,True,OWNERSHIP_TABLE_MEASUREMENT_DATE_UNRESOLVED,6,False,False,6,"{""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 6}","{""SINGLE_OR_UNSPECIFIED"": 6}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1347652/000110465922049692/tm224346-2_def14a.htm,fe77c499cac9c4be52fffa61e87e9834549ef726a99e6008b4935d509f4f9877
CORR,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__corr,0001347652-22-000020,10-K,2022-03-14,True,NO_OWNERSHIP_TABLE,0,True,False,0,{},{},"{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": false}",https://www.sec.gov/Archives/edgar/data/1347652/000134765222000020/corr-20211231.htm,1ba8ad66f679b2ad4111b75eed3d9e78667ac6ca800263e88819e691f15a8890
CPTK,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__cptk,0001213900-24-009178,DEF 14A,2024-02-02,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,8,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 8}","{""MULTI_CLASS_ORDINARY_SHARES"": 8}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1827899/000121390024009178/def14a0124_crownprop.htm,aae83da42e8667ee801d3c2fb403e3788a3f67e53964664e90150bf1c4fd2556
CPTK,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__cptk,0001193125-23-132522,10-K,2023-05-02,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,9,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 9}","{""MULTI_CLASS_ORDINARY_SHARES"": 9}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1827899/000119312523132522/d468343d10k.htm,88e70a5febb26b8b0ec91b114b15d1f5fff4cde8b6e66868c1f34c148daac775
CPTK,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__cptk,0001193125-23-015266,DEF 14A,2023-01-25,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,8,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 8}","{""MULTI_CLASS_ORDINARY_SHARES"": 8}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1827899/000119312523015266/d313226ddef14a.htm,0fdd8075a5338d5cf7cb1e5652482c9987444051bb7c60e47706665a6b76e773
CPTK,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__cptk,0001410578-22-000866,10-K,2022-04-12,True,OWNERSHIP_TABLE_MEASUREMENT_DATE_UNRESOLVED,9,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 9}","{""MULTI_CLASS_ORDINARY_SHARES"": 9}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1827899/000141057822000866/cptk-20211231x10k.htm,0c9b76b7736e2fa78b3e8d22b522cc0578dc14f4581165da44ab891d83827ad8
DOMH,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__domh,0001213900-26-012981,DEF 14A,2026-02-06,True,OWNERSHIP_TABLE_MEASUREMENT_DATE_UNRESOLVED,16,False,False,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 16}","{""SINGLE_OR_UNSPECIFIED"": 16}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/12239/000121390026012981/ea0274100-02.htm,49950fc1a2c04d6758a2ec8c092c6fcaa361a6167f5c8743e115d24c7ab74c62
